DEPTH,GR,LLD,RHOB,PhiNSS
M,API,ohm.m,g/cm3,porosity units
2985.6684,185.487,5.3685,2.5601,0.3767
2985.8208,182.6871,6.764,2.5511,0.3728
2985.9732,175.1932,7.8261,2.5341,0.3509
2986.1256,166.0338,8.188,2.5358,0.3171
2986.278,162.2659,8.0397,2.5283,0.2962
2986.4304,157.7771,7.3342,2.4998,0.2789
2986.5828,147.126,6.345,2.4587,0.2783
2986.7352,137.9309,5.4364,2.4166,0.2716
2986.8876,131.1832,4.2869,2.4041,0.2663
2987.04,130.4539,3.9302,2.3946,0.2574
2987.1924,127.5658,3.8975,2.3971,0.2632
2987.3448,125.2685,3.5455,2.3993,0.272
2987.4972,127.3373,3.7195,2.4085,0.2821
2987.6496,127.8569,3.5353,2.4065,0.2716
2987.802,129.7966,3.1248,2.4002,0.2609
2987.9544,128.0673,3.0433,2.3978,0.2643
2988.1068,121.6763,3.0781,2.4013,0.2593
2988.2592,119.9976,3.4728,2.4137,0.2706
2988.4116,115.1964,3.7406,2.4137,0.268
2988.564,122.1505,3.2563,2.4226,0.2789
2988.7164,123.8733,3.0839,2.4132,0.2831
2988.8688,131.2723,2.8457,2.3932,0.2896
2989.0212,125.0313,2.6182,2.3652,0.304
2989.1736,115.7238,2.7022,2.3449,0.3088
2989.326,103.6439,3.016,2.3483,0.2789
2989.4784,105.1936,2.7751,2.3774,0.2572
2989.6308,112.9081,2.272,2.3913,0.2528
2989.7832,117.5462,1.8234,2.3752,0.2601
2989.9356,112.3559,1.6816,2.3081,0.2719
2990.088,98.0594,1.8731,2.2525,0.2906
2990.2404,82.9001,2.173,2.2254,0.3093
2990.3928,74.6828,2.4897,2.2533,0.2972
2990.5452,80.4064,2.8818,2.3244,0.3003
2990.6976,90.1483,3.4565,2.4363,0.2937
2990.85,99.6786,4.0535,2.5343,0.2971
2991.0024,100.5234,4.735,2.5911,0.3216
2991.1548,100.3935,5.955,2.5885,0.3593
2991.3072,103.7832,5.2773,2.5459,0.3618
2991.4596,116.1874,3.5601,2.4751,0.3779
2991.612,129.0922,2.7793,2.3999,0.4047
2991.7644,133.9677,2.3625,2.3742,0.3559
2991.9168,128.6421,2.2603,2.3761,0.3192
2992.0692,121.8423,2.4913,2.3883,0.2948
2992.2216,113.6099,2.7234,2.3959,0.2933
2992.374,103.6793,3.0917,2.3811,0.2851
2992.5264,94.6871,3.0837,2.3843,0.2879
2992.6788,92.2539,3.0153,2.4044,0.2774
2992.8312,100.5881,2.909,2.4268,0.269
2992.9836,116.0749,2.6237,2.4111,0.2527
2993.136,121.7072,2.3732,2.3644,0.264
2993.2884,115.8997,2.4161,2.3459,0.2822
2993.4408,100.124,2.5517,2.3503,0.2858
2993.5932,95.6766,2.697,2.3692,0.2799
2993.7456,93.6983,2.7843,2.3704,0.2769
2993.898,95.2539,2.713,2.3715,0.2678
2994.0504,102.8673,2.7927,2.3675,0.2592
2994.2028,109.4488,2.7352,2.3731,0.2549
2994.3552,109.3499,2.7031,2.3761,0.2598
2994.5076,93.8116,2.7989,2.3703,0.2597
2994.66,83.753,2.6197,2.3678,0.2494
2994.8124,83.3942,2.4375,2.3618,0.2481
2994.9648,83.7108,2.2222,2.3511,0.2472
2995.1172,82.7505,1.8327,2.3249,0.2477
2995.2696,74.8464,1.5524,2.3066,0.2635
2995.422,69.7027,1.3945,2.2953,0.2648
2995.5744,63.6488,1.2989,2.2793,0.2765
2995.7268,60.2423,1.2859,2.266,0.264
2995.8792,60.8911,1.4342,2.2804,0.2561
2996.0316,69.2042,1.6041,2.3257,0.2431
2996.184,73.584,1.6353,2.3696,0.2431
2996.3364,70.9695,1.581,2.3648,0.2471
2996.4888,61.9177,1.3342,2.3144,0.2494
2996.6412,54.4143,1.1964,2.2715,0.2504
2996.7936,49.9065,1.1311,2.249,0.2461
2996.946,49.2918,1.093,2.2462,0.2469
2997.0984,51.4251,1.0764,2.2398,0.256
2997.2508,55.4517,1.1004,2.2325,0.2703
2997.4032,57.3247,1.1643,2.2218,0.2707
2997.5556,57.0105,1.2276,2.2177,0.2683
2997.708,58.3094,1.2696,2.2261,0.2472
2997.8604,55.5471,1.306,2.2484,0.2408
2998.0128,57.4786,1.2874,2.2617,0.2433
2998.1652,56.3285,1.2843,2.2671,0.26
2998.3176,58.5448,1.2952,2.2626,0.2431
2998.47,58.1876,1.3027,2.251,0.2362
2998.6224,55.9936,1.3081,2.2558,0.231
2998.7748,56.1499,1.3352,2.2725,0.2375
2998.9272,54.4435,1.3688,2.2833,0.234
2999.0796,57.5035,1.4189,2.2751,0.2344
2999.232,57.5035,1.4313,2.2752,0.237
2999.3844,60.0542,1.4592,2.2689,0.2427
2999.5368,55.1427,1.492,2.2616,0.2396
2999.6892,53.4182,1.5004,2.2594,0.2386
2999.8416,50.512,1.4476,2.2647,0.2413
2999.994,53.7593,1.3699,2.2617,0.2486
3000.1464,54.9451,1.2555,2.2575,0.2329
3000.2988,56.7553,1.1392,2.2529,0.236
3000.4512,59.6129,1.0799,2.2565,0.2423
3000.6036,60.8214,1.0803,2.2464,0.2574
3000.756,58.4017,1.1619,2.2338,0.2719
3000.9084,56.9831,1.2891,2.2185,0.2729
3001.0608,53.3092,1.3582,2.2254,0.2642
3001.2132,57.1495,1.3622,2.2285,0.2648
3001.3656,53.9498,1.3185,2.2292,0.2699
3001.518,54.6506,1.2362,2.2121,0.2943
3001.6704,50.3381,1.1892,2.2103,0.2802
3001.8228,51.3368,1.1855,2.2191,0.2763
3001.9752,55.1871,1.2145,2.2327,0.2638
3002.1276,62.3573,1.2592,2.243,0.2725
3002.28,65.3924,1.3353,2.2403,0.2736
3002.4324,65.4466,1.3803,2.2348,0.2798
3002.5848,61.9177,1.389,2.2295,0.2716
3002.7372,58.9777,1.381,2.2454,0.268
3002.8896,54.8914,1.3709,2.2767,0.2462
3003.042,53.0631,1.3732,2.3145,0.2343
3003.1944,55.1783,1.4017,2.3346,0.2242
3003.3468,56.1859,1.3963,2.3437,0.2229
3003.4992,58.1458,1.3921,2.3228,0.2207
3003.6516,60.2261,1.4337,2.2924,0.2135
3003.804,59.4955,1.3821,2.2679,0.2292
3003.9564,57.5673,1.3563,2.2587,0.2421
3004.1088,53.761,1.3797,2.2683,0.2506
3004.2612,56.8053,1.346,2.2844,0.2392
3004.4136,61.695,1.3545,2.2986,0.2221
